"Note: The Microsoft product information contained in this document at the time of its publication is a representative example of products offered through various Visual Studio Subscription levels. To confirm specific product availability, visit https://my.visualstudio.com/downloads/. The below product offerings contained in this document are accurate at the time of publication. Microsoft reserves the right to change these product offerings at any time.
Note: All software is for dev/test purposes except Office Professional Plus 2019.","","","","","","","","","","","","","","","","","","","","","","","",""
"Product (Updated January 4, 2021)","Visual Studio
Enterprise
Volume Licensing","Visual Studio
Enterprise
with GitHub Enterprise","Visual Studio
Enterprise
Annual","Visual Studio
Enterprise
Monthly","Visual Studio
Enterprise
Retail","Visual Studio
Professional
Volume Licensing","Visual Studio
Professional
with GitHub Professional","Visual Studio
Professional
Annual","Visual Studio
Professional
Monthly","Visual Studio
Professional
Retail","Visual Studio
Test Professional
Volume Licensing","Visual Studio
Test Professional
Retail","MSDN Platforms
Volume Licensing","Visual Studio
Enterprise
Microsoft Partner Network","Visual Studio
Professional
Microsoft Partner Network","MCT Developer Software & Services","MCT Software & Services","Visual Studio
Enterprise
Microsoft Valuable Professional
Microsoft Student Partner
Regional Director Program","Visual Studio
Enterprise
Microsoft for Startups","Azure Dev Tools
for Teaching","MSDN OS
Retail
*retired subscription","MSDN OS
Volume Licensing
*retired subscription","BizSpark
*retired subscription","Dev Essentials"
".NET Compact Framework 1.0 Developer Redistributable","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
".NET Compact Framework 1.0 Redistributable","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
".NET Compact Framework 2.0","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
".NET Compact Framework 2.0 Service Pack","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
".NET Framework 1.0 SDK and DDKs","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
".NET Framework 1.0 Service Pack","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
".NET Framework 1.1 SDK and DDKs","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
".NET Framework 1.1 Service Pack","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
